Sequence Number,Channel1,Channel2,Channel3
0,32572,33332,33337
50,33634,32022,32836
100,30868,33101,32005
150,34000,33497,32784
200,32452,32881,32718
250,33656,32477,32925
300,30650,33816,33382
350,29804,33292,31620
400,32704,32432,33244
450,32565,34118,32938
500,33080,32596,33138
550,31756,33053,32968
600,32528,32864,33024
650,31440,32700,33036
700,31536,34292,32844
750,32813,32718,34004
800,38977,33000,31364
850,32496,32660,32524
900,31626,32884,32892
950,34736,32272,33412
1000,33028,32852,32556
1050,31608,32840,32026
1100,32426,32927,33096
1150,32200,33054,33164
1200,35312,32638,33104
1250,32004,33700,32895
1300,33212,32721,33405
1350,32584,32953,33448
1400,32320,33096,32192
1450,33684,33388,33300
1500,31876,33096,33080
1550,32660,32653,32533
1600,33698,32792,33030
1650,32614,33022,33168
1700,33964,33484,31964
1750,31102,31713,33664
1800,33156,33062,32864
1850,31770,32668,33068
1900,33332,32862,33069
1950,33760,32821,33564
2000,33080,33208,32634
2050,31744,32961,32540
2100,32628,32229,33468
2150,35136,33082,31710
2200,32128,33028,33584
2250,33544,32847,32272
2300,31648,32740,31946
2350,33956,32664,32445
2400,32732,32917,33480
2450,34740,32584,31198
2500,31044,32235,32954
2550,32096,32328,33112
2600,37814,32396,32112
2650,32948,32668,31855
2700,32780,33149,32647
2750,31946,32768,33228
2800,33792,33100,32684
2850,31784,32768,33484
2900,32320,32228,34182
2950,32628,32848,31750
3000,32730,32644,32782
3050,34525,32380,33182
3100,35152,32860,33976
3150,31952,33012,31444
3200,31396,32663,33124
3250,32341,32940,32574
3300,32084,32816,32657
3350,34032,33376,32422
3400,31564,33148,31550
3450,33180,32680,33740
3500,32460,32666,33098
3550,32692,32356,33308
3600,32972,32916,32722
3650,34020,32671,32452
3700,32936,32892,32816
3750,31072,33108,33141
3800,30652,32686,32568
3850,32536,32906,32580
3900,31168,33301,33889
3950,32212,32973,31396
4000,32904,33244,32781
4050,32684,32977,32360
4100,34986,32736,32749
4150,31180,33004,33658
4200,33132,32912,32474
4250,32756,32775,33228
4300,31876,33015,33672
4350,32661,32613,33340
4400,33280,33572,32086
4450,30560,32820,33273
4500,32669,33060,32241
4550,33372,33057,33008
4600,33388,32428,32565
4650,36348,33324,32836
4700,33296,32972,32679
4750,33136,32942,32536
4800,32956,32540,33372
4850,32176,32680,33212
4900,30160,32892,32706
4950,33112,33012,33056
5000,32928,33287,32920
5050,31460,32648,33486
5100,34492,33193,32700
5150,33560,33305,33124
5200,32012,32657,32986
5250,34536,33069,32968
5300,33124,33124,31652
5350,33380,32894,32526
5400,34036,32762,32508
5450,31896,32804,33836
5500,32480,33101,32640
5550,32834,32900,32603
5600,34732,33042,33232
5650,34470,32460,32975
5700,32164,32276,32936
5750,33008,32532,32856
5800,32982,32808,32322
5850,31990,32420,33028
5900,32736,32879,32969
5950,31852,32420,32838
6000,34268,32520,33058
6050,30184,32594,32736
6100,32416,33069,32969
6150,32672,32636,32925
6200,32452,32906,32988
6250,32258,32432,32596
6300,34120,32564,33141
6350,32949,32792,32041
6400,32960,33446,32816
6450,34196,32948,31952
6500,32936,32661,32232
6550,35048,32408,31824
6600,31901,32429,32956
6650,31844,32740,32936
6700,31356,32840,33082
6750,33884,33117,33004
6800,31072,32562,32612
6850,31953,32709,32884
6900,32732,32880,32724
6950,33700,33000,33063
7000,34060,32535,32798
7050,33020,32564,32256
7100,32904,32766,32529
7150,31872,32682,33356
7200,32728,32940,33302
7250,33620,32508,32868
7300,30064,32896,33030
7350,33708,32172,33580
7400,30520,32940,32764
7450,32188,32897,33524
7500,33348,33021,32820
7550,35108,32424,32909
7600,32724,33518,34258
7650,32624,33052,33612
7700,31696,33194,32572
7750,32296,33173,32488
7800,36200,32826,32510
7850,33488,33044,32912
7900,29473,32768,33424
7950,31174,32872,32932
8000,32634,32964,33304
8050,32688,32928,32664
8100,32688,32740,32748
8150,33080,33016,33518
8200,30856,33145,31406
8250,30408,32402,32121
8300,30732,32157,33064
8350,35932,32172,33292
8400,35200,33006,33676
8450,29732,32588,33032
8500,36500,32808,31252
8550,30936,32484,33700
8600,32637,32780,32580
8650,32584,32894,32821
8700,30000,32448,33396
8750,34088,32304,32472
8800,31324,33113,31505
8850,32188,33130,33784
8900,35148,32945,31676
8950,31340,32874,32484
9000,32744,32119,32668
9050,33132,33068,32730
9100,34020,32712,32544
9150,32408,32704,32990
9200,31820,32800,32890
9250,33984,32769,33464
9300,36772,32404,32948
9350,31928,31908,32844
9400,32232,32599,33665
9450,32077,32756,33860
9500,31828,32328,32636
9550,32194,32630,33796
9600,37288,32126,32394
9650,32924,32796,32934
9700,33152,32769,33009
9750,31212,32274,33748
9800,32112,32519,32940
9850,33116,32748,32240
9900,36317,33224,32749
9950,34456,32076,33014
10000,31816,32056,33098
10050,32552,32596,32664
10100,33320,32958,33902
10150,32676,33542,32424
10200,31598,31814,32962
10250,32957,32894,32579
10300,33917,32800,32361
10350,31473,32820,31357
10400,31788,32512,33287
10450,32725,32676,32896
10500,32921,32372,33086
10550,32548,32948,32866
10600,33648,32719,32860
10650,33520,32996,31928
10700,32034,32578,33064
10750,32916,32694,33084
10800,32352,32412,32870
10850,33448,33232,33852
10900,33296,32848,32899
10950,32576,33140,32235
11000,32446,32324,32512
11050,32504,32700,33060
11100,32672,32212,33500
11150,34056,32945,32682
11200,31808,33218,33468
11250,32260,33072,33143
11300,33156,32514,34080
11350,32928,32456,31786
11400,35296,32032,33616
11450,31880,32884,32320
11500,35522,33004,31780
11550,32120,32968,31862
11600,24584,33718,32976
11650,44060,32836,31476
11700,10421,33025,35496
11750,33456,33052,28560
11800,50092,32932,31012
11850,44788,32388,35674
11900,64144,32480,29800
11950,38176,32320,31240
12000,56696,31392,32544
12050,12146,33084,32708
12100,26976,33272,26269
12150,26485,33676,31944
12200,34144,32332,33444
12250,54848,33080,30666
12300,17358,32448,32700
12350,14841,30160,34840
12400,26330,33036,34252
12450,24288,32856,32192
12500,32397,33736,31844
12550,18780,33293,34552
12600,24520,33640,29700
12650,19677,33116,33364
12700,54432,32889,31916
12750,38296,32652,34468
12800,29996,31372,30288
12850,52544,33247,30492
12900,19173,33504,34156
12950,24620,33124,29612
13000,31912,32322,31448
13050,22008,32588,33004
13100,50172,32642,32404
13150,27164,32764,30756
13200,31072,32496,38737
13250,40180,31492,32900
13300,11356,34560,32580
13350,44680,32832,39192
13400,37504,33440,37696
13450,41400,33148,26620
13500,63800,32928,30552
13550,35304,32126,35556
13600,27544,32378,33096
13650,26728,31893,30992
13700,30189,33560,33388
13750,19640,32220,33536
13800,20724,32751,33184
13850,30524,32554,32648
13900,47556,32812,31892
13950,28768,32880,34365
14000,33160,32354,33494
14050,46224,32364,31556
14100,45384,32486,33152
14150,23722,33476,31796
14200,30388,32692,31998
14250,33528,33330,30705
14300,24456,32677,33456
14350,32500,33408,30824
14400,30488,31976,33496
14450,36244,33380,32108
14500,32688,33840,33992
14550,29060,33540,32860
14600,32074,33220,33271
14650,34236,33008,32756
14700,31336,31278,33514
14750,31869,31842,33198
14800,33040,32902,33040
14850,33208,33430,32252
14900,32940,32844,32538
14950,32812,32836,32998
