Sequence Number,Channel1,Channel2,Channel3
0,32880,32744,32749
50,32798,32741,32733
100,32752,32602,32760
150,32828,32612,32921
200,32800,32878,32904
250,32788,32844,32916
300,32800,32881,32845
350,32936,32828,32680
400,32824,32602,32700
450,32804,32582,32967
500,32816,32871,32717
550,32784,32668,32812
600,32805,32688,32904
650,32796,32804,32892
700,32768,32804,32860
750,32788,32774,32704
800,32686,32730,32772
850,32804,32669,32921
900,32760,32572,32741
950,32380,32805,32901
1000,32764,32786,32644
1050,31004,32932,33039
1100,33156,32628,32650
1150,32718,32502,32870
1200,33377,32596,32860
1250,32860,32958,32999
1300,33984,32852,32761
1350,32100,32586,32719
1400,32796,32884,32484
1450,32662,32708,33368
1500,30728,32600,33145
1550,31524,32544,32505
1600,32484,32620,34662
1650,33192,32406,32646
1700,34768,32680,31127
1750,32032,32906,32928
1800,32561,32860,29876
1850,33452,32804,31238
1900,34556,32813,31892
1950,31840,32620,35748
2000,33328,32840,33104
2050,32238,32560,33864
2100,30092,32862,36204
2150,32984,32664,32004
2200,29824,32782,32496
2250,30208,32896,31188
2300,33314,32844,33920
2350,33016,32552,36238
2400,32668,32678,32506
2450,32804,32805,32774
2500,32416,32764,32516
2550,33844,32739,32694
2600,34404,32877,32893
2650,32828,32562,32729
2700,33376,32764,32839
2750,33109,32788,32885
2800,32912,32804,32824
2850,31872,32828,32954
2900,32872,32892,32792
2950,33000,32844,32764
3000,32344,32508,32702
3050,32744,32552,32772
3100,33016,32685,32956
3150,32992,32794,32900
3200,32860,32919,32792
3250,32864,32632,32876
3300,32848,32712,32940
3350,32826,32580,32940
3400,32860,32812,32956
3450,32837,32808,32903
3500,31804,32784,32988
3550,33448,32876,32652
3600,32680,32542,32776
3650,33252,32696,33092
3700,34756,32729,32417
3750,33096,32788,32332
3800,30736,32937,33509
3850,33584,32678,32796
3900,32576,32553,33008
3950,32404,32617,32737
4000,35424,32652,32885
4050,33004,32802,33148
4100,33344,32537,32748
4150,31368,32692,33516
4200,33745,32192,31220
4250,34928,32824,35604
4300,30740,32684,34988
4350,30161,32720,33244
4400,28292,33008,33912
4450,31036,32616,33688
4500,36592,32783,35956
4550,30180,32710,32042
4600,35388,32628,33316
4650,34568,32537,34616
4700,31936,33032,32852
4750,32772,32524,34368
4800,33216,32862,32670
4850,32696,32808,33506
4900,33132,32670,32850
4950,31524,32906,32564
5000,33412,32927,32728
5050,32064,32844,32845
5100,32780,32644,32902
5150,33256,32647,32657
5200,32824,32757,32658
5250,32742,32600,32847
5300,32044,32840,32933
5350,33172,32884,32737
5400,32800,32856,32602
5450,32960,32866,32889
5500,32832,32836,32938
5550,32716,32774,32713
5600,33148,32748,32770
5650,32774,32601,32673
5700,32804,32855,32671
5750,33656,32876,32917
5800,33632,32861,32933
5850,32648,32633,32762
5900,32304,32688,32668
5950,32460,32805,32918
