Sequence Number,Channel1,Channel2,Channel3
0,56736,0,0
50,56704,0,0
100,56152,0,0
150,56052,0,0
200,56052,0,0
250,55824,0,0
300,55608,0,0
350,55288,0,0
400,54920,0,0
450,54808,0,0
500,54456,0,0
550,54172,0,0
600,53952,0,0
650,53800,0,0
700,53576,0,0
750,53360,0,0
800,53120,0,0
850,52976,0,0
900,52672,0,0
950,52512,0,0
1000,52552,0,0
1050,52820,0,0
1100,54200,0,0
1150,52732,0,0
1200,52224,0,0
1250,52464,0,0
1300,52888,0,0
1350,53168,0,0
1400,53264,0,0
1450,52516,0,0
1500,52424,0,0
1550,52248,0,0
1600,52000,0,0
1650,51728,0,0
1700,51632,0,0
1750,51400,0,0
1800,51024,0,0
1850,50976,0,0
1900,50680,0,0
1950,50560,0,0
2000,50072,0,0
2050,50080,0,0
2100,44696,0,0
2150,29097,0,0
2200,21848,0,0
2250,14921,0,0
2300,7825,0,0
2350,4306,0,0
2400,1965,0,0
2450,49,0,0
2500,38,0,0
2550,34,0,0
2600,33,0,0
