Sequence Number,Channel1,Channel2,Channel3
0,33844,32033,31148
50,34920,30334,33936
100,35304,32568,31681
150,33668,32976,37696
200,28848,32470,32932
250,31511,34104,28928
300,33156,32876,28426
350,31337,33428,28768
400,31972,32464,36065
450,27312,33260,25516
500,27192,32741,29280
550,33602,32405,35056
600,35580,32924,41304
650,31392,33348,33960
700,29832,32140,31140
750,34128,33148,30485
800,33768,33048,32428
850,32568,32780,34673
900,31860,31872,32984
950,33560,32359,32717
1000,29176,32648,32096
1050,30004,32472,37340
1100,30476,32552,35084
1150,34228,32121,37000
1200,36084,33052,26476
1250,32688,32964,33356
1300,32151,32736,30101
1350,33872,32478,31124
1400,33096,32448,32312
1450,32188,32429,32621
1500,33372,33312,33185
1550,32808,32657,32612
1600,33708,32728,30840
1650,31636,32648,32713
1700,32956,32405,35952
1750,33448,32786,32917
1800,31356,32625,33304
1850,33088,32964,32847
1900,32896,32869,32417
1950,32756,32929,33045
2000,32732,32852,34849
2050,33536,32610,32691
2100,32836,32936,32728
2150,32800,33100,32052
2200,33648,32957,33612
2250,32853,32988,32636
2300,32516,32512,34397
2350,32576,32758,32816
2400,33669,32604,32084
2450,32976,32278,32556
2500,32392,32813,32625
2550,32832,32653,34712
2600,33096,32405,32481
2650,32657,33860,32847
2700,32916,33020,32967
2750,33372,32784,33300
2800,32064,32478,32135
2850,32156,32360,32220
2900,32864,33031,32558
2950,32606,32977,33024
3000,32668,32408,30949
3050,31348,32488,34956
3100,33592,32428,33156
3150,30980,32552,32380
3200,33816,33716,32664
3250,36092,32392,32776
3300,34992,32856,33012
3350,28344,32525,33549
3400,36824,32788,35369
3450,29752,32160,30168
3500,36516,32642,32556
3550,26092,32551,32876
3600,37544,32576,31372
3650,29164,32876,34708
3700,31552,32412,30688
3750,36016,32552,33000
3800,34160,32924,30616
3850,34944,32552,36312
3900,30076,32532,27360
3950,32389,32400,36732
4000,33820,32874,35742
4050,29748,34084,30152
4100,30340,32488,30860
4150,29420,33376,28517
4200,31788,32192,30092
4250,34068,32900,31520
4300,31720,32500,34720
4350,34920,32356,31008
4400,33404,32656,31842
4450,33676,31893,31754
4500,30425,32692,31472
4550,33108,33764,33789
4600,32792,33192,33301
4650,31556,32476,32908
4700,37316,32320,31744
4750,32028,32724,32518
4800,32392,32504,32388
4850,32789,33640,34288
4900,32156,31992,33064
4950,32228,32578,34409
5000,32576,33448,33704
5050,33088,32488,31823
5100,32452,32672,34472
5150,33280,32606,32720
5200,32832,32508,32584
5250,32276,32735,32390
5300,32788,32736,32999
5350,32792,32656,31944
5400,33300,33704,31648
5450,32824,32628,32473
5500,32897,32192,33310
5550,33912,32535,32928
5600,33936,32676,32616
5650,32697,33018,33526
5700,32648,32519,32060
5750,33508,32921,32756
5800,33392,32998,32666
5850,32952,32788,34128
5900,33069,33397,33432
5950,32740,33064,31964
6000,32296,32530,32590
6050,32956,32720,34372
6100,33316,32944,33226
6150,33060,32541,33000
6200,33624,32388,35460
6250,32176,32668,33472
6300,32220,32577,31238
6350,34208,32812,28664
6400,33213,32548,33552
6450,31616,33032,36732
6500,29337,32184,33220
6550,27118,32576,31245
6600,30260,32837,32644
6650,31100,33141,30769
6700,30232,33172,28976
6750,34370,32600,30012
6800,35116,32652,38320
6850,33916,32612,33052
6900,28196,32296,42556
6950,35436,32488,34588
7000,34896,33197,33604
7050,29776,32868,31452
7100,31780,32872,32785
7150,40360,33348,31672
7200,35152,32208,34964
7250,30732,33068,33008
7300,34828,32868,25698
7350,31576,32461,33013
7400,29748,32528,33852
7450,35800,32661,32336
7500,33096,31916,32372
7550,33460,32708,35618
7600,33260,32824,30744
7650,27228,32676,34112
7700,33724,32592,39100
7750,36528,32924,33060
7800,35510,32516,29892
7850,33856,32852,31556
7900,28544,32605,36600
7950,30860,32624,33030
8000,31497,33520,33448
8050,33504,32960,33870
8100,28518,33560,36324
8150,30804,32612,36124
8200,32580,32560,32644
8250,33504,33144,34724
8300,33764,32756,32392
8350,32236,32060,32568
8400,32112,32455,32257
8450,30656,32550,32322
8500,32761,32701,32775
8550,32648,32580,35252
8600,32840,32912,32732
8650,32900,32805,32456
8700,33184,33070,32794
8750,32832,32738,32258
8800,32864,32920,32512
8850,32696,32712,32828
8900,32645,32604,34257
8950,32726,32775,33448
9000,32892,32580,34260
9050,32533,32596,32788
9100,33224,32740,31889
9150,33064,32533,32224
9200,32898,33688,31570
9250,34700,32692,33594
9300,31992,32848,33541
9350,32656,32641,32156
9400,32712,33040,32392
9450,32376,32444,35116
9500,32968,32636,32508
9550,32452,32816,35004
9600,33348,32472,31904
9650,29133,32896,33352
9700,32041,32649,34010
9750,33004,32694,29452
9800,31032,33490,30982
9850,34728,32736,31800
9900,32568,32556,30908
9950,32700,32321,29380
10000,34112,31976,33156
10050,35176,32340,31668
10100,33308,32542,31980
10150,29580,32612,33636
10200,25365,32808,35132
10250,33672,32576,27716
10300,35328,32548,32080
10350,32693,32208,32737
10400,31953,32536,31709
10450,31380,32284,28008
10500,28170,32712,30496
10550,31432,33116,35168
10600,28200,33084,31728
10650,41068,33008,21085
10700,33560,32644,37144
10750,31964,32320,27996
10800,31422,32792,27696
10850,33480,33180,33464
10900,28468,32660,35184
10950,37104,32895,32596
11000,34892,32804,29340
11050,31613,32524,35064
11100,33468,32988,35108
11150,39100,32569,29084
11200,29868,33436,32254
11250,32568,32398,32276
11300,32988,32720,31460
11350,32024,33088,32421
11400,32800,32973,32420
11450,31728,32512,30141
11500,33748,32860,33028
11550,32776,32324,32704
11600,32932,32256,31434
11650,34392,32662,33093
11700,33461,32505,32786
11750,32132,32824,32726
11800,32444,32968,33328
11850,32478,32874,33708
11900,33408,33284,32544
11950,32780,32584,32528
12000,33164,32732,32484
12050,32084,32440,32733
12100,32452,32828,32536
12150,33140,32625,33148
12200,33316,33046,32288
12250,32480,32343,32982
12300,31981,32903,32408
12350,32404,32545,32428
12400,33081,32708,33556
12450,31832,32617,33733
12500,32712,31929,32481
12550,31896,33710,32414
12600,29768,32956,33662
12650,33292,32926,33321
12700,34392,33000,32805
12750,33264,31912,34128
12800,32556,32492,34524
12850,32608,32473,33274
12900,26604,32404,33638
12950,28068,32848,31084
13000,31684,32336,31932
13050,33700,32792,33769
13100,33602,32924,32334
13150,22596,33180,36273
13200,34464,32676,33609
13250,32096,32109,29208
13300,30654,33028,35512
13350,32912,32980,32804
13400,29036,32340,26640
13450,37276,32492,25580
13500,34212,33125,31596
13550,31200,32736,40612
13600,36860,34690,30676
13650,32404,33037,31414
13700,32588,33036,32095
13750,33205,32948,32701
13800,31640,32876,32180
13850,31776,32668,33424
13900,32372,32376,32700
13950,34584,33502,32481
14000,31908,32416,34308
14050,33888,32916,30813
14100,31585,32732,33204
14150,33509,32713,32988
14200,31892,33260,35824
14250,33032,32501,32624
14300,32972,32720,29736
14350,32864,32660,32028
14400,33364,32785,34972
14450,33052,32220,33100
14500,32964,32569,34252
14550,33204,33036,32348
14600,32776,32573,32768
14650,33056,32464,33168
14700,32078,32335,29605
14750,32824,32636,32936
14800,33109,32572,31840
14850,32868,32633,32692
14900,32804,32688,32172
14950,32568,32824,34972
15000,32505,32540,32706
15050,32925,32732,33090
15100,32908,32484,32852
15150,32872,32932,32324
15200,32664,33364,32717
15250,32804,32565,32737
15300,32776,32348,32710
15350,32808,32592,32710
15400,32832,32568,33356
15450,32828,33052,32826
15500,32752,33058,32772
15550,32820,32794,33021
15600,32758,32632,32357
15650,32824,32742,32572
15700,32833,32662,32455
15750,32812,32324,34523
15800,32844,32620,32617
15850,32796,32476,32500
15900,32780,32503,32770
15950,32772,33100,32813
16000,32828,32829,32812
16050,32856,32745,33048
16100,32808,32733,32792
16150,32756,32880,32736
16200,32824,32497,31692
16250,32804,32785,33188
16300,32772,32906,32608
16350,32852,32405,32775
16400,32840,32775,33124
16450,32738,32797,32792
16500,32772,32716,33100
16550,32893,32746,32437
16600,32816,32489,32522
16650,32852,32665,32976
16700,32800,32077,33372
16750,32784,32713,32997
16800,32900,32740,32358
